Group,ID,List,Target,RT,RT_log,Critical_Filler,Word_Nonword,Relation_type,Branching,accuracy
L1,L1_09,C,reusable,423,6.0474,Critical,Word,Constituent,Left,correct
L1,L1_09,C,ungraceful,290,5.6699,Critical,Word,Constituent,Right,correct
L1,L1_09,C,untouchable,619,6.4281,Critical,Word,Constituent,Right,correct
L1,L1_09,C,uneventful,706,6.5596,Critical,Word,Unrelated,Right,correct
L1,L1_09,C,reattachable,693,6.541,Critical,Word,Unrelated,Left,correct
L1,L1_09,C,unmovable,690,6.5367,Critical,Word,Constituent,Right,correct
L1,L1_09,C,reobtainable,1154,7.051,Critical,Word,Constituent,Left,correct
L1,L1_09,C,untruthful,722,6.582,Critical,Word,Constituent,Right,correct
L1,L1_09,C,unkindness,377,5.9322,Critical,Word,Constituent,Left,correct
L1,L1_09,C,rehydratable,495,6.2046,Critical,Word,Unrelated,Left,incorrect
L1,L1_09,C,unawareness,497,6.2086,Critical,Word,NonConstituent,Left,correct
L1,L1_09,C,reclosable,365,5.8999,Critical,Word,Constituent,Left,correct
L1,L1_09,C,undeniable,782,6.6619,Critical,Word,Unrelated,Right,correct
L1,L1_09,C,unclearness,639,6.4599,Critical,Word,Unrelated,Left,correct
L1,L1_09,C,uncleverness,1029,6.9363,Critical,Word,Constituent,Left,correct
L1,L1_09,C,resellable,922,6.8265,Critical,Word,Unrelated,Left,correct
L1,L1_09,C,unhappiness,511,6.2364,Critical,Word,NonConstituent,Left,correct
L1,L1_09,C,recomputable,701,6.5525,Critical,Word,NonConstituent,Left,correct
L1,L1_09,C,unripeness,691,6.5381,Critical,Word,NonConstituent,Left,correct
L1,L1_10,D,reattachable,1304,7.1732,Critical,Word,Constituent,Left,correct
L1,L1_10,D,uneventful,1316,7.1824,Critical,Word,Constituent,Right,correct
L1,L1_10,D,undeniable,0,NA,Critical,Word,Constituent,Right,incorrect
L1,L1_10,D,untouchable,955,6.8617,Critical,Word,Unrelated,Right,correct
L1,L1_10,D,unwariness,1292,7.1639,Critical,Word,NonConstituent,Left,incorrect
L1,L1_10,D,unbreakable,1062,6.9679,Critical,Word,Unrelated,Right,correct
L1,L1_10,D,unsharpness,0,NA,Critical,Word,Constituent,Left,incorrect
L1,L1_10,D,unripeness,794,6.6771,Critical,Word,Unrelated,Left,incorrect
L1,L1_10,D,untruthful,1493,7.3085,Critical,Word,Unrelated,Right,correct
L1,L1_10,D,recomputable,1738,7.4605,Critical,Word,Unrelated,Left,correct
L1,L1_10,D,unresentful,1334,7.1959,Critical,Word,Constituent,Right,correct
L1,L1_10,D,reusable,755,6.6267,Critical,Word,NonConstituent,Left,correct
